,Case.ID,CD3D,CD3E,CD3G
423,TCGA-DU-7009,-1.1194,-0.8352,-1.3337
424,TCGA-FG-A4MW,-0.5493,-0.2813,-0.5891
425,TCGA-TQ-A7RU,-1.0349,-0.1317,-0.8328
426,TCGA-R8-A6MO,-0.198,0.6789,-0.4087
427,TCGA-HT-7607,-0.8807,-0.4251,0.2394
428,TCGA-E1-A7YV,-0.1246,0.037,-0.8018
429,TCGA-HT-7482,-0.4935,-1.0402,-1.3337
430,TCGA-TM-A84F,2.722,2.3753,1.8578
431,TCGA-HT-A74O,1.8718,1.5841,0.5911
432,TCGA-FG-A87Q,1.5114,1.4016,0.4457
433,TCGA-HT-7608,-1.3682,-1.2716,-0.8557
434,TCGA-TQ-A7RH,-0.6462,0.2024,-0.5271
435,TCGA-HT-7485,-1.0735,-0.7131,-1.3337
436,TCGA-FG-A87Q,1.5114,1.4016,0.4457
437,TCGA-HT-7858,0.9643,1.6798,0.1907
438,TCGA-HT-7688,-0.8014,-0.4435,-0.4817
439,TCGA-DU-7304,-0.863,0.2574,-0.3069
440,TCGA-FG-5964,0.4934,0.9809,-1.3337
441,TCGA-DU-7290,1.454,1.4606,2.036
442,TCGA-FG-8186,0.4059,0.4309,0.4128
443,TCGA-FG-A4MT,-1.3682,-1.9298,-1.3337
444,TCGA-HT-7860,0.7778,0.9852,1.2265
445,TCGA-HW-7487,-1.3682,-1.0673,-1.3337
446,TCGA-TM-A7C4,-0.7247,-1.0265,-0.7694
447,TCGA-QH-A65Z,-0.5747,-0.459,-0.4395
448,TCGA-VM-A8CF,-0.4966,0.2196,-1.3337
449,TCGA-DU-A7TG,0.0064,-0.3037,-1.3337
450,TCGA-KT-A7W1,1.1415,1.2539,1.1199
451,TCGA-VM-A8C8,-1.3682,-1.1448,-0.7385
452,TCGA-HT-7476,-0.0825,0.6554,0.4391
